question_id,domain,question
q01,computer_network,"为什么 HTTPS 比 HTTP 更安全？"
q02,campus_life,"大一新生应该怎样适应大学学习节奏？"
q03,health_consulting,"经常熬夜后白天犯困，应该怎么调整？"
q04,programming,"学习 Java 后端时为什么要理解面向对象？"
q05,science,"为什么夏天雷阵雨来得快去得也快？"
q06,ai_security,"为什么需要检测 AI 生成文本？"
q07,study_method,"准备英语六级时，听力和阅读应该怎么分配时间？"
q08,network_engineering,"排查宿舍网络很慢时可以从哪些方面入手？"
q09,medical_ai,"医疗问答 AI 为什么不能直接替代医生？"
q10,research_training,"本科生刚进课题组应该怎样开始做科研训练？"
q11,software_project,"做图书管理系统时，后端接口设计要注意什么？"
q12,large_model,"为什么大模型回答有时看起来很自信但其实是错的？"
q13,data_privacy,"使用在线 AI 工具时为什么要注意隐私保护？"
q14,algorithm,"为什么分类任务不能只看准确率？"
q15,aigc_detection,"AI 文本被改写后，为什么检测会变难？"
